funding,keyword,sum_paper
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,software product line (spl),2
Hibah PITTA - Universitas Indonesia,user experience,2
Fulbright Indonesia Presidential Scholarship PhD Grant,data description,2
Hibah PITTA - Universitas Indonesia,mobile application,2
Hibah PITTA - Universitas Indonesia,intention to use,2
Fulbright Indonesia Presidential Scholarship PhD Grant,description logic,2
Fulbright Indonesia Presidential Scholarship PhD Grant,birds,2
Hibah PITTA - Universitas Indonesia,capability,2
Hibah PITTA - Universitas Indonesia,knowledge,2
Hibah PITTA - Universitas Indonesia,analytic hierarchy process,2
GPU Grant - NVIDIA,lstm,2
GPU Grant - NVIDIA,information systems,2
Multi-discipline Research Grant - Universitas Indonesia,knowledge management,2
Hibah PITTA - Universitas Indonesia,artificial intelligence,2
Hibah PITTA - Universitas Indonesia,systematic literature review,2
Hibah PITTA - Universitas Indonesia,classification,2
Hibah PITTA - Universitas Indonesia,security of data,2
GPU Grant - NVIDIA,classification,2
GPU Grant - NVIDIA,neural networks,2
The National Aeronautics and Space Administration (NASA),memory architecture,2
Hibah PITTA - Universitas Indonesia,logic programming,2
GPU Grant - NVIDIA,information use,2
GPU Grant - NVIDIA,indonesian languages,2
Hibah PITTA - Universitas Indonesia,information quality,2
Hibah PITTA - Universitas Indonesia,time series,2
Hibah PITTA - Universitas Indonesia,critical success factors,2
Fundação para a Ciência e a Tecnologia,information use,2
Hibah PITTA - Universitas Indonesia,visualization,2
Hibah PITTA - Universitas Indonesia,latent dirichlet allocation,2
GPU Grant - NVIDIA,speech,2
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,radar cross section,2
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,reflection,2
Hibah PITTA - Universitas Indonesia,prediction,2
Fundação para a Ciência e a Tecnologia,prolog (programming language),2
Fundação para a Ciência e a Tecnologia,proof of concept,2
Fulbright Indonesia Presidential Scholarship PhD Grant,ontology,2
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,clutter,2
Hibah PITTA - Universitas Indonesia,technology adoption,2
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,power plant,2
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,primary radar system,2
Hibah PITTA - Universitas Indonesia,project management,2
"QUE Project - Faculty of Computer Science, Universitas Indonesia",word-based model,2
Hibah PITTA - Universitas Indonesia,systematic literature review (slr),2
Fulbright Indonesia Presidential Scholarship PhD Grant,logic programming,2
Fundação para a Ciência e a Tecnologia,computer circuits,2
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,classification,2
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,wind turbine,2
Fundação para a Ciência e a Tecnologia,closed world assumption,1
The Directorate General of Higher Education (DGHE) of Indonesia,privacy-preserving,1
Fulbright Indonesia Presidential Scholarship PhD Grant,role assignment,1
Samsung R&D Institute Indonesia (SRIN),fuzzy,1
Samsung R&D Institute Indonesia (SRIN),security system,1
Samsung R&D Institute Indonesia (SRIN),personal health,1
Fundação para a Ciência e a Tecnologia,computational logic,1
Samsung R&D Institute Indonesia (SRIN),secret handshake,1
Fulbright Indonesia Presidential Scholarship PhD Grant,semantic role labeling,1
Fulbright Indonesia Presidential Scholarship PhD Grant,sentence level,1
The Australian Research Council,summarization,1
Fundação para a Ciência e a Tecnologia,ontology,1
Fundação para a Ciência e a Tecnologia,reasoning algorithms,1
The Australian Research Council,computer science,1
Fundação para a Ciência e a Tecnologia,design principles,1
Fundação para a Ciência e a Tecnologia,ontology language,1
The Australian Research Council,artificial intelligence,1
Fundação para a Ciência e a Tecnologia,implementation aspects,1
Fundação para a Ciência e a Tecnologia,decision-based,1
Fundação para a Ciência e a Tecnologia,information systems,1
The Australian Research Council,information retrieval,1
The Australian Research Council,optimization,1
Fundação para a Ciência e a Tecnologia,adaptive ability,1
The Australian Research Council,data compression,1
Fundação para a Ciência e a Tecnologia,technical communications,1
The Australian Research Council,computers,1
The Directorate General of Higher Education (DGHE) of Indonesia,cp-abe,1
Fundação para a Ciência e a Tecnologia,computability and decidability,1
The Directorate General of Higher Education (DGHE) of Indonesia,data aggregation,1
Fundação para a Ciência e a Tecnologia,intelligent agents,1
The Directorate General of Higher Education (DGHE) of Indonesia,pairing encryption,1
The Directorate General of Higher Education (DGHE) of Indonesia,personal health,1
Fundação para a Ciência e a Tecnologia,interchange formats,1
The Directorate General of Higher Education (DGHE) of Indonesia,fuzzy,1
The Directorate General of Higher Education (DGHE) of Indonesia,machine learning,1
Fundação para a Ciência e a Tecnologia,real-world,1
The Directorate General of Higher Education (DGHE) of Indonesia,deep learning,1
Fundação para a Ciência e a Tecnologia,morality,1
Fundação para a Ciência e a Tecnologia,abduction,1
The Australian Research Council,user behavior,1
Fundação para a Ciência e a Tecnologia,knowledge base,1
Fundação para a Ciência e a Tecnologia,critical thinking,1
Fundação para a Ciência e a Tecnologia,application programs,1
Fundação para a Ciência e a Tecnologia,computation theory,1
Fundação para a Ciência e a Tecnologia,counterfactual reasoning,1
Fundação para a Ciência e a Tecnologia,software design,1
Fundação para a Ciência e a Tecnologia,logical inference,1
Fundação para a Ciência e a Tecnologia,improved techniques,1
Fundação para a Ciência e a Tecnologia,program transformations,1
Fundação para a Ciência e a Tecnologia,data description,1
The Directorate General of Higher Education (DGHE) of Indonesia,secret handshake,1
Fundação para a Ciência e a Tecnologia,logic programs,1
Fundação para a Ciência e a Tecnologia,description logic,1
Fundação para a Ciência e a Tecnologia,knowledge based systems,1
Fundação para a Ciência e a Tecnologia,birds,1
Fundação para a Ciência e a Tecnologia,rule-based approach,1
Fundação para a Ciência e a Tecnologia,its applications,1
"Ministry of Science and Technology, Taiwan, ROC (Republic of China)",impulse buying,1
Seek.com,information retrieval,1
The Australian Research Council,scientific workflow,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sentiment analysis,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,neural networks,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,twitter,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,deep learning,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,indonesia,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,filter,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,evolutionary algorithm,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,muzzle pattern,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,matching refinement,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,beef cattle identification,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,optical correlation,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,spatial resolution,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,sar radargrammetry,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,quality assessment,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,processing stage,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,process settings,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,environmental analysis,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,computational effort,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,sift,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,cross correlations,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,machine learning,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,optimization,1
The Australian Research Council,burrows-wheeler transform,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,support vector machine,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,brand reputation,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,simulated annealing algorithm,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,hidden markov models,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sleep disorder,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,fuzzy clustering,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,children with autisms,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,on-machines,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sleep stages,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sleep stages classifications,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sleep stage,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,deep belief networks,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,regression analysis,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sleep research,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,lstm,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,decision tree,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,diseases,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,long short-term memory,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sleep stage classification,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,naïve bayes,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,synthetic aperture radar,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,image resolution,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,denoising,1
The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,signal processing,1
The Australian Research Council,backward wave tubes,1
The Australian Research Council,text compression,1
The Australian Research Council,recency ranking,1
The Australian Research Council,move-to-front,1
The Australian Research Council,burrows-wheeler transformation,1
The Australian Research Council,task runtime prediction,1
The Australian Research Council,online incremental learning,1
The Australian Research Council,answer summaries,1
The Australian Research Council,learning-to-rank,1
The Australian Research Council,document summarization,1
The Australian Research Council,cqa,1
The Australian Research Council,answer-biased summaries,1
The Australian Research Council,average precision,1
The Australian Research Council,adaptive metric,1
The Australian Research Council,interaction logs,1
The Australian Research Council,user action,1
The Australian Research Council,system designers,1
The Australian Research Council,new options,1
The Australian Research Council,entropy coding,1
The Australian Research Council,arithmetic coders,1
The Australian Research Council,based modelling,1
The Australian Research Council,compression mechanism,1
Seek.com,interaction logs,1
University of Melbourne Google-funded travel grants,user model,1
University of Melbourne Google-funded travel grants,job search,1
University of Melbourne Google-funded travel grants,evaluation,1
SIGIR,user model,1
SIGIR,job search,1
SIGIR,evaluation,1
Seek.com,average precision,1
Seek.com,adaptive metric,1
Seek.com,user action,1
The Australian Research Council,resource costs,1
Seek.com,system designers,1
Seek.com,new options,1
Seek.com,user behavior,1
Seek.com,computers,1
Fulbright Indonesia Presidential Scholarship PhD Grant,process knowledge,1
Seek.com,artificial intelligence,1
Seek.com,computer science,1
The Australian Research Council,text compressions,1
Fulbright Indonesia Presidential Scholarship PhD Grant,real world situations,1
The National Science Foundation,design principles,1
Fulbright Indonesia Presidential Scholarship PhD Grant,integer linear programs,1
The Dayton Area Graduate Studies Institute (DAGSI),semantic web technology,1
The Dayton Area Graduate Studies Institute (DAGSI),owl ontologies,1
The Dayton Area Graduate Studies Institute (DAGSI),ontology engineering process,1
The Dayton Area Graduate Studies Institute (DAGSI),knowledge graphs,1
The Dayton Area Graduate Studies Institute (DAGSI),domain experts,1
The Dayton Area Graduate Studies Institute (DAGSI),graphic methods,1
The Dayton Area Graduate Studies Institute (DAGSI),birds,1
The Dayton Area Graduate Studies Institute (DAGSI),semantic web,1
The Dayton Area Graduate Studies Institute (DAGSI),ontology,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,software product line engineering,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,microservices,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,system generation,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,small organizations,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,open source application,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,not-for-profit organization,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,it supports,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,critical issues,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,software variabilities,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,quality of product,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,ontology-based information systems,1
The Dayton Area Graduate Studies Institute (DAGSI),prototype implementations,1
The Air Force Office of Scientific Research,ontology,1
Fulbright Indonesia Presidential Scholarship PhD Grant,ai systems,1
The Air Force Office of Scientific Research,semantic web,1
The National Science Foundation,data handling,1
The National Science Foundation,ontology design,1
The U.S. National Science Foundation’s EarthCube,ontology alignment,1
The U.S. National Science Foundation’s EarthCube,complex correspondences,1
The U.S. National Science Foundation’s EarthCube,alignment system,1
The U.S. National Science Foundation’s EarthCube,modular ontologies,1
The U.S. National Science Foundation’s EarthCube,complex relationships,1
The U.S. National Science Foundation’s EarthCube,real-world,1
The U.S. National Science Foundation’s EarthCube,domain experts,1
The U.S. National Science Foundation’s EarthCube,semantic web,1
The U.S. National Science Foundation’s EarthCube,ontology,1
The Air Force Office of Scientific Research,semantic web technology,1
The Air Force Office of Scientific Research,prototype implementations,1
The Air Force Office of Scientific Research,owl ontologies,1
The Air Force Office of Scientific Research,ontology engineering process,1
The Air Force Office of Scientific Research,knowledge graphs,1
The Air Force Office of Scientific Research,domain experts,1
The Air Force Office of Scientific Research,graphic methods,1
The Air Force Office of Scientific Research,birds,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,distributed object-oriented systems,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,development process,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,behavioural specifications,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,object oriented programming,1
Multi-discipline Research Grant - Universitas Indonesia,adhocracy culture,1
Multi-discipline Research Grant - Universitas Indonesia,luftman,1
Multi-discipline Research Grant - Universitas Indonesia,it-business strategic alignment,1
Multi-discipline Research Grant - Universitas Indonesia,it infrastructure flexibility,1
Multi-discipline Research Grant - Universitas Indonesia,application,1
Multi-discipline Research Grant - Universitas Indonesia,socialization,1
Multi-discipline Research Grant - Universitas Indonesia,internalization,1
Multi-discipline Research Grant - Universitas Indonesia,externalization,1
Multi-discipline Research Grant - Universitas Indonesia,combination,1
Multi-discipline Research Grant - Universitas Indonesia,partial least squares,1
Multi-discipline Research Grant - Universitas Indonesia,knowledge management process,1
Multi-discipline Research Grant - Universitas Indonesia,ocai,1
Multi-discipline Research Grant - Universitas Indonesia,organizational culture,1
Faculty of Computer Science - Universitas Indonesia,linkrank algorithm,1
Faculty of Computer Science - Universitas Indonesia,directed network,1
Faculty of Computer Science - Universitas Indonesia,citation network,1
Faculty of Computer Science - Universitas Indonesia,static archives,1
Faculty of Computer Science - Universitas Indonesia,readiness measurement,1
Faculty of Computer Science - Universitas Indonesia,irmt,1
Multi-discipline Research Grant - Universitas Indonesia,clan culture,1
Multi-discipline Research Grant - Universitas Indonesia,competing values framework,1
Multi-discipline Research Grant - Universitas Indonesia,hierarchy culture,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,information system development,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,industrial research,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,budget control,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,user interface design,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,software product lines engineering,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,interaction flow modeling language,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,delta oriented programming,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,open source software,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,abstract behavioral specification,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,computer architecture,1
Multi-discipline Research Grant - Universitas Indonesia,market culture,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,modeling languages,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,framework,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,information use,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,ontology,1
Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,information systems,1
Multi-discipline Research Grant - Universitas Indonesia,sharing,1
Multi-discipline Research Grant - Universitas Indonesia,discovery,1
Multi-discipline Research Grant - Universitas Indonesia,capture,1
The National Science Foundation,user interfaces,1
The National Science Foundation,software design,1
The National Science Foundation,metadata,1
The National Science Foundation,scalable performance,1
The German Research Foundation (DFG),hard-modeling,1
The German Research Foundation (DFG),theoretical development,1
The German Research Foundation (DFG),logical statements,1
The German Research Foundation (DFG),plug-ins,1
The German Research Foundation (DFG),rule based,1
The German Research Foundation (DFG),data description,1
The German Research Foundation (DFG),description logic,1
The German Research Foundation (DFG),birds,1
The German Research Foundation (DFG),semantic web,1
The National Science Foundation,work-load distribution,1
The National Science Foundation,total computation time,1
The National Science Foundation,shared memory architecture,1
The National Science Foundation,point-to-point network,1
The National Science Foundation,point-to-point communication,1
The National Science Foundation,multicomputer systems,1
The National Science Foundation,multicomputer network,1
The National Science Foundation,empirical - comparisons,1
The National Science Foundation,network architecture,1
The National Science Foundation,electric power plant loads,1
The German Research Foundation (DFG),standard interface,1
The German Research Foundation (DFG),user evaluations,1
Fulbright Indonesia Presidential Scholarship PhD Grant,data mining,1
Fulbright Indonesia Presidential Scholarship PhD Grant,expressive description logic,1
Fulbright Indonesia Presidential Scholarship PhD Grant,integer programming,1
Fulbright Indonesia Presidential Scholarship PhD Grant,technical communications,1
Fulbright Indonesia Presidential Scholarship PhD Grant,reasoning algorithms,1
Fulbright Indonesia Presidential Scholarship PhD Grant,ontology language,1
Fulbright Indonesia Presidential Scholarship PhD Grant,design principles,1
Fulbright Indonesia Presidential Scholarship PhD Grant,closed world assumption,1
Fulbright Indonesia Presidential Scholarship PhD Grant,tableau algorithm,1
Fulbright Indonesia Presidential Scholarship PhD Grant,horn logic,1
Fulbright Indonesia Presidential Scholarship PhD Grant,high quality,1
Fulbright Indonesia Presidential Scholarship PhD Grant,semantics,1
Fulbright Indonesia Presidential Scholarship PhD Grant,rule-based approach,1
Fulbright Indonesia Presidential Scholarship PhD Grant,computability and decidability,1
Fulbright Indonesia Presidential Scholarship PhD Grant,datalog,1
Fulbright Indonesia Presidential Scholarship PhD Grant,software design,1
Fulbright Indonesia Presidential Scholarship PhD Grant,rule based,1
Fulbright Indonesia Presidential Scholarship PhD Grant,formal languages,1
Fulbright Indonesia Presidential Scholarship PhD Grant,web ontology language,1
Fulbright Indonesia Presidential Scholarship PhD Grant,natural language processing systems,1
The National Science Foundation,technological change,1
The National Science Foundation,performance tools,1
The National Science Foundation,scheduling,1
The National Science Foundation,internal definitions,1
The National Science Foundation,visual user interfaces,1
The National Science Foundation,nocv2,1
The National Science Foundation,logical axioms,1
The National Science Foundation,class diagrams,1
The National Science Foundation,user evaluations,1
The National Science Foundation,standard interface,1
The National Science Foundation,hard-modeling,1
The National Science Foundation,information dissemination,1
The National Science Foundation,performance analysis,1
The National Science Foundation,directed graphs,1
The National Science Foundation,rule-based approach,1
The National Science Foundation,computability and decidability,1
The National Science Foundation,datalog,1
The National Science Foundation,ontology design pattern,1
The National Science Foundation,application programs,1
The National Science Foundation,ontology patterns,1
The National Science Foundation,ontology engineering,1
The National Science Foundation,axiomatization,1
The National Science Foundation,information analysis,1
