dosen_fasilkom,h_index,full_name,id_author,keyword,sum_paper
yes,9,Achmad Nizar Hidayanto,57205093001,e-participation,5
yes,3,Betty Purwandari,56716397400,e-government,5
yes,4,Denny,24338175100,visualization,5
no,2,Siti Rohajawati,56119319400,knowledge management,5
yes,6,Heru Suhartanto,16423632300,information systems,5
yes,6,Dana Indra Sensuse,53264793000,model,5
yes,7,T. Basaruddin,9334901600,data mining,5
yes,9,Achmad Nizar Hidayanto,57205093001,adoption,5
yes,10,Aniati Murni Arymurthy,36815724000,deep learning,5
yes,10,Aniati Murni Arymurthy,36815724000,artificial intelligence,5
yes,7,Putu Wuri Handayani,37013424100,social media,5
no,2,Panca O.Hadi Putra,57164716100,smes,5
no,2,Panca O.Hadi Putra,57164716100,e-business,5
yes,8,Adila Alfa Krisnadhi,23467371600,semantics,5
yes,18,Wisnu Jatmiko,8568432600,robots,5
yes,10,M. Ivan Fanany,6505757323,artificial intelligence,5
yes,10,M. Ivan Fanany,6505757323,computer science,5
no,3,Elin Cahyaningsih,56595080500,knowledge,5
no,7,Raj P. Gopalan,7005493679,algorithms,5
yes,18,Wisnu Jatmiko,8568432600,odors,5
yes,7,Mirna Adriani,35611399700,semantics,5
yes,9,Achmad Nizar Hidayanto,57205093001,partial least square,5
yes,10,Petrus Mursanto,24176993000,algorithms,5
yes,8,Adila Alfa Krisnadhi,23467371600,data integration,5
no,24,L. M. Pereira,7201962404,lethal autonomous,5
yes,8,Adila Alfa Krisnadhi,23467371600,formal languages,5
no,3,Dewi Yanti Liliana,43461515300,emotion recognition,5
no,18,Kousuke Sekiyama,7005646496,optimization,5
no,32,Pascal Hitzler,8876646400,semantics,5
no,5,Ary Noviyanto,55015183800,computer science,5
yes,6,Dana Indra Sensuse,53264793000,indonesia,5
no,24,L. M. Pereira,7201962404,robots,5
yes,7,Bayu Anggorojati,36991829400,cloud,5
no,4,Sidik Mulyono,55355315600,remote sensing,5
yes,7,Mirna Adriani,35611399700,retrieval performance,5
yes,6,Dana Indra Sensuse,53264793000,e-learning,5
yes,9,Achmad Nizar Hidayanto,57205093001,knowledge management,5
yes,9,Achmad Nizar Hidayanto,57205093001,information systems,5
yes,10,M. Ivan Fanany,6505757323,data mining,5
no,58,Toshino Fukuda,36037263500,optimization,5
yes,7,Indra Budi,14021131100,e-government,5
yes,7,Indra Budi,14021131100,indonesia,5
yes,7,Indra Budi,14021131100,computer science,5
yes,18,Wisnu Jatmiko,8568432600,ecg,5
yes,10,M. Ivan Fanany,6505757323,remote sensing,5
yes,10,M. Ivan Fanany,6505757323,computer simulation,5
no,4,Harjanto Prabowo,57210847043,systematic literature review,5
no,5,Ary Noviyanto,55015183800,information systems,5
yes,9,Harry Budi Santoso,55396730800,enhanced guided notes,5
yes,9,Harry Budi Santoso,55396730800,engineering design,5
yes,9,Achmad Nizar Hidayanto,57205093001,twitter,5
yes,7,Mirna Adriani,35611399700,computer science,5
yes,18,Wisnu Jatmiko,8568432600,particle swarm optimization,5
yes,9,Achmad Nizar Hidayanto,57205093001,e-government,5
yes,7,Mirna Adriani,35611399700,data mining,5
yes,7,Ari Wibisono,55625531300,computer science,5
no,2,Handrie Noprisson,57189267265,knowledge management,5
no,16,Kongkiti Peter Phusavat,13403740100,indonesia,5
yes,10,M. Ivan Fanany,6505757323,machine learning,5
no,58,Toshino Fukuda,36037263500,odors,5
no,20,Neeli Rashmi Prasad,7202700545,cloud,4
no,22,Werner Nutt,7003716191,data completeness,4
yes,7,T. Basaruddin,9334901600,facial expression,4
no,7,Sani Muhamad Isa,36806230900,wavelet transform,4
no,12,Ruli Manurung,24468719300,computer science,4
no,12,Ruli Manurung,24468719300,information systems,4
no,20,Neeli Rashmi Prasad,7202700545,security,4
yes,7,T. Basaruddin,9334901600,facial expression recognition,4
no,7,Sani Muhamad Isa,36806230900,electrocardiography,4
no,1,Agung Terminanto,55932622400,erp,4
yes,18,Wisnu Jatmiko,8568432600,fuzzy logic,4
yes,7,Ari Wibisono,55625531300,fimt-dd,4
yes,7,Putu Wuri Handayani,37013424100,hospital,4
no,18,Kousuke Sekiyama,7005646496,computer simulation,4
yes,7,T. Basaruddin,9334901600,remote sensing,4
no,7,Simon Razniewski,37117560500,data completeness,4
no,4,undefined Meyliana,57203859161,social media,4
no,3,Aprinaldi Jasa Mantau,57202899749,semantic segmentation,4
no,6,David Carral,55813191900,birds,4
yes,18,Wisnu Jatmiko,8568432600,ellipse detection,4
yes,9,Achmad Nizar Hidayanto,57205093001,continuance intention,4
yes,18,Wisnu Jatmiko,8568432600,learning vector quantization,4
no,3,Nazifa Karima,56413035400,semantic web,4
no,8,Itsuo Kumazawa,55943452700,image reconstruction,4
no,10,Benyamin Kusumoputro,11840021200,learning systems,4
no,9,Jun Sato,36089156900,scattering media,4
no,10,Benyamin Kusumoputro,11840021200,vector quantization,4
no,4,undefined Meyliana,57203859161,higher education,4
yes,7,Ari Wibisono,55625531300,vehicle detection,4
no,10,Benyamin Kusumoputro,11840021200,odors,4
yes,7,Putu Wuri Handayani,37013424100,enterprise resource planning,4
no,10,Benyamin Kusumoputro,11840021200,backpropagation,4
no,10,Benyamin Kusumoputro,11840021200,learning vector quantization,4
no,10,Benyamin Kusumoputro,11840021200,odor recognition system,4
yes,2,Maya Retno Ayu Setyautami,56523330500,software product line,4
no,10,Benyamin Kusumoputro,11840021200,pattern recognition systems,4
yes,18,Wisnu Jatmiko,8568432600,problem solving,4
no,3,Dewa Made Sri Arsa,57193834508,classification (of information),4
yes,7,Putu Wuri Handayani,37013424100,online transportation,4
yes,3,Betty Purwandari,56716397400,e-commerce,4
no,4,Nungki Selviandro,55627610900,e-learning,4
no,2,Panca O.Hadi Putra,57164716100,adoption,4
yes,10,M. Ivan Fanany,6505757323,speech recognition,4
yes,10,M. Ivan Fanany,6505757323,extreme learning machine,4
no,1,Sofiana Nurjanah,55203562900,education,4
yes,3,Erdefi Rakun,55625410200,image processing,4
yes,10,M. Ivan Fanany,6505757323,sleep stage classification,4
yes,10,Petrus Mursanto,24176993000,reverse engineering,4
no,2,Pinkie Anggia,56119371400,knowledge management,4
yes,8,Ari Saptawijaya,15064729000,morality,4
yes,8,Ari Saptawijaya,15064729000,abduction,4
yes,10,Petrus Mursanto,24176993000,vehicle detection,4
yes,8,Ari Saptawijaya,15064729000,computation theory,4
yes,9,Achmad Nizar Hidayanto,57205093001,pls-sem,4
yes,10,M. Ivan Fanany,6505757323,classification (of information),4
yes,7,Mirna Adriani,35611399700,indonesia,4
yes,9,Achmad Nizar Hidayanto,57205093001,purchase intention,4
no,24,L. M. Pereira,7201962404,computation theory,4
no,5,Uky Yudatama,57053392900,awareness,4
no,1,Vektor Dewanto,56595210300,semantic segmentation,4
yes,7,Mirna Adriani,35611399700,text processing,4
no,8,B. Hardjono,55339290100,information systems,4
no,8,B. Hardjono,55339290100,computer science,4
yes,7,Mirna Adriani,35611399700,information services,4
no,3,Elin Cahyaningsih,56595080500,knowledge management process,4
no,2,Syandra P. Sari,23393545800,cross-language information retrieval,4
no,24,L. M. Pereira,7201962404,abduction,4
no,24,L. M. Pereira,7201962404,morality,4
yes,7,Mirna Adriani,35611399700,computer aided language translation,4
yes,7,Mirna Adriani,35611399700,parallel corpora,4
yes,7,Mirna Adriani,35611399700,question answering system,4
no,1,Ika Arthalia Wulandari,57200213020,ontology,4
yes,9,Achmad Nizar Hidayanto,57205093001,cloud computing,4
yes,10,Aniati Murni Arymurthy,36815724000,algorithms,4
yes,9,Achmad Nizar Hidayanto,57205093001,technology acceptance model,4
no,30,Krzysztof Janowicz,13610913700,ontology design,4
yes,9,Achmad Nizar Hidayanto,57205093001,entropy,4
yes,6,Alfan Farizki Wicaksono,55522888300,artificial intelligence,4
no,5,Arief Ramadhan,53264599300,indonesia,4
no,32,Pascal Hitzler,8876646400,formal languages,4
no,30,Krzysztof Janowicz,13610913700,data integration,4
yes,18,Wisnu Jatmiko,8568432600,computer simulation,4
no,45,Ramjee Venkatesha Prasad,7402378359,cloud,4
no,8,Darmawan Napitupulu,56580224900,e-government,4
no,45,Ramjee Venkatesha Prasad,7402378359,security,4
no,5,Adi Wibowo,57205972690,robots,4
yes,10,Petrus Mursanto,24176993000,big data,4
yes,4,Denny,24338175100,self-organizing maps,4
no,1,Gede Rasben Dantes,56299432200,erp implementation success,4
no,32,Pascal Hitzler,8876646400,data integration,4
yes,4,Denny,24338175100,self-organizing map,4
yes,6,Alfan Farizki Wicaksono,55522888300,learning systems,4
yes,3,Ave Adriana Pinem,56626063000,trust,4
yes,6,Puspa Indahati Sandhyaduhita,56118787200,pls-sem,4
no,9,Michelle Cheatham,13806682500,ontology design,4
yes,10,Aniati Murni Arymurthy,36815724000,feature extraction,4
yes,4,Fariz Darari,55014563600,data completeness,4
yes,6,Puspa Indahati Sandhyaduhita,56118787200,social media,4
yes,6,Puspa Indahati Sandhyaduhita,56118787200,e-commerce,4
yes,10,Aniati Murni Arymurthy,36815724000,image segmentation,4
no,3,Dewa Made Sri Arsa,57193834508,security of data,4
yes,6,Alfan Farizki Wicaksono,55522888300,data mining,4
yes,10,Aniati Murni Arymurthy,36815724000,sleep stage classification,4
no,5,Arief Ramadhan,53264599300,e-livestock,4
yes,6,Puspa Indahati Sandhyaduhita,56118787200,information quality,4
yes,4,Muhammad Rifki Shihab,56363073800,indonesia,4
no,32,Pascal Hitzler,8876646400,ontology patterns,4
no,32,Pascal Hitzler,8876646400,axiomatization,4
yes,7,Putu Wuri Handayani,37013424100,entropy,4
no,3,Elin Cahyaningsih,56595080500,human capital,4
yes,18,Wisnu Jatmiko,8568432600,modified particle swarm optimization,4
yes,18,Wisnu Jatmiko,8568432600,feature extraction and classification,4
yes,9,Achmad Nizar Hidayanto,57205093001,awareness,4
yes,8,Muhammad Anwar Ma’sum,54974181100,information systems,4
yes,7,Indra Budi,14021131100,support vector machine,4
no,58,Toshino Fukuda,36037263500,sensors,4
no,3,Mira Suryani,56118930500,e-learning,4
yes,9,Achmad Nizar Hidayanto,57205093001,hospital,4
no,4,Muhammad Sakti Alvissalim,55014464500,information systems,4
yes,8,Muhammad Anwar Ma’sum,54974181100,algorithms,4
yes,18,Wisnu Jatmiko,8568432600,classification system,4
yes,4,Qorib Munajat,57190865720,social media,4
yes,7,Zainal A.Hasibuan,57203922071,information systems,4
yes,9,Harry Budi Santoso,55396730800,usability testing,4
yes,18,Wisnu Jatmiko,8568432600,electrocardiogram,4
yes,8,Muhammad Anwar Ma’sum,54974181100,big data,4
yes,7,Zainal A.Hasibuan,57203922071,e-government,4
yes,18,Wisnu Jatmiko,8568432600,robotics,4
yes,7,Zainal A.Hasibuan,57203922071,erp implementation success,4
no,58,Toshino Fukuda,36037263500,mobile robots,4
yes,6,Bobby Achirul Awal Nazief,6508196587,awareness,4
no,6,Elly Matul Imah,54973804500,feature extraction,4
no,58,Toshino Fukuda,36037263500,problem solving,4
no,4,Muhammad Sakti Alvissalim,55014464500,computer science,4
no,11,Martin Schrepp,22434417500,user experience,4
no,58,Toshino Fukuda,36037263500,computer simulation,4
yes,7,Indra Budi,14021131100,classification,4
yes,2,Widia Resti Fitriani,57193701425,indonesia,4
yes,9,Harry Budi Santoso,55396730800,pedagogical agent,4
no,2,Meidi Kosandi,55648638200,e-participation,4
yes,6,Dana Indra Sensuse,53264793000,e-livestock,4
yes,7,Zainal A.Hasibuan,57203922071,information retrieval,4
yes,7,Zainal A.Hasibuan,57203922071,education,4
no,6,Elly Matul Imah,54973804500,information systems,4
no,6,Elly Matul Imah,54973804500,computer science,4
yes,9,Harry Budi Santoso,55396730800,student-centered learning,4
yes,7,Zainal A.Hasibuan,57203922071,personalization,4
yes,7,Zainal A.Hasibuan,57203922071,architecture,4
yes,4,Kasiyah,56461394900,e-learning,4
yes,6,Heru Suhartanto,16423632300,runge kutta methods,4
yes,8,Adila Alfa Krisnadhi,23467371600,ontology patterns,4
yes,6,Dana Indra Sensuse,53264793000,prisma,4
yes,8,Adila Alfa Krisnadhi,23467371600,axiomatization,4
yes,7,Zainal A.Hasibuan,57203922071,learning style,4
yes,7,Zainal A.Hasibuan,57203922071,ontology,4
yes,7,Zainal A.Hasibuan,57203922071,computer science,4
yes,3,Betty Purwandari,56716397400,e-participation,4
yes,2,Laksmita Rahadianti,55513678400,scattering media,4
yes,6,Dana Indra Sensuse,53264793000,human capital,4
no,18,Kousuke Sekiyama,7005646496,odors,4
no,8,Charles F. Vardeman,6506219996,semantic web,4
yes,7,Putu Wuri Handayani,37013424100,e-commerce,4
no,3,Dewi Yanti Liliana,43461515300,facial expression,4
yes,7,T. Basaruddin,9334901600,machine learning,4
no,8,Charles F. Vardeman,6506219996,ontology design,4
no,18,Kousuke Sekiyama,7005646496,problem solving,4
yes,1,Iis Solichah,55014342100,e-government,4
yes,6,Dana Indra Sensuse,53264793000,knowledge sharing,4
no,18,Kousuke Sekiyama,7005646496,mobile robots,4
yes,7,Bayu Anggorojati,36991829400,security,4
no,5,Muhammad Febrian Rachmadi,54974181500,big data,4
yes,6,Dana Indra Sensuse,53264793000,knowledge management process,4
no,6,Elly Matul Imah,54973804500,ecg,4
no,5,Wade H. Goodridge,36863370000,self-regulated learning,4
yes,4,Eko Kuswardono Budiardjo,6505807438,ontology,4
no,3,Elin Cahyaningsih,56595080500,knowledge management strategy,4
yes,18,Wisnu Jatmiko,8568432600,wavelet transform,4
no,6,Elly Matul Imah,54973804500,classification system,4
yes,6,Dana Indra Sensuse,53264793000,knowledge management strategy,4
no,6,Muladno,7409597642,e-government,4
yes,5,Wahyu Catur Wibowo,56126778500,content analysis,4
yes,9,Harry Budi Santoso,55396730800,education,4
no,5,Fumihiko Sakaue,6701518493,scattering media,4
no,3,Dewi Yanti Liliana,43461515300,facial expression recognition,4
yes,6,Dana Indra Sensuse,53264793000,knowledge management model,3
no,18,Kousuke Sekiyama,7005646496,multiple odor sources localization,3
no,3,Muhammad Iqbal Tawakal,55014602700,electrocardiography,3
yes,10,Petrus Mursanto,24176993000,vhdl,3
yes,6,Yudho Giri Sucahyo,6507465058,association rules,3
no,4,I. Putu Satwika,55625606200,hough transforms,3
yes,10,M. Ivan Fanany,6505757323,long short-term memory,3
yes,6,Dana Indra Sensuse,53264793000,knowledge mapping,3
yes,10,M. Ivan Fanany,6505757323,convolutional neural networks,3
yes,6,Dana Indra Sensuse,53264793000,government human capital,3
yes,7,Mirna Adriani,35611399700,parallel corpus,3
yes,7,Mirna Adriani,35611399700,polarity,3
yes,7,Mirna Adriani,35611399700,question answering task,3
yes,6,Dana Indra Sensuse,53264793000,agile software development,3
yes,2,Ade Azurat,8980537200,software product line,3
yes,7,Mirna Adriani,35611399700,passage retrieval,3
yes,7,Mirna Adriani,35611399700,retrieval effectiveness,3
yes,6,Yudho Giri Sucahyo,6507465058,critical success factors,3
no,4,Edy Winarno,56049606100,face recognition,3
yes,9,Harry Budi Santoso,55396730800,learning management system,3
no,58,Toshino Fukuda,36037263500,multiple odor sources localization,3
yes,9,Harry Budi Santoso,55396730800,learning process,3
yes,7,Indra Budi,14021131100,hospital information system,3
yes,6,Dana Indra Sensuse,53264793000,e-portfolio,3
yes,10,M. Ivan Fanany,6505757323,lstm,3
yes,6,Yudho Giri Sucahyo,6507465058,e-commerce,3
yes,6,Dana Indra Sensuse,53264793000,hermeneutic,3
yes,6,Yudho Giri Sucahyo,6507465058,indonesia,3
yes,9,Harry Budi Santoso,55396730800,learning contents,3
no,2,Wina Permana Sari,57189256951,knowledge management,3
yes,6,Yudho Giri Sucahyo,6507465058,computer science,3
yes,6,Yudho Giri Sucahyo,6507465058,information systems,3
no,8,Agus Harjoko,6506899735,face recognition,3
yes,10,M. Ivan Fanany,6505757323,humans,3
no,10,Frederick W. Maier,7005680695,description logic,3
yes,10,M. Ivan Fanany,6505757323,human,3
yes,10,M. Ivan Fanany,6505757323,algorithm,3
no,7,Edi Winarko,8876439700,face recognition,3
yes,2,Ade Azurat,8980537200,software product line (spl),3
yes,10,Petrus Mursanto,24176993000,galois field,3
yes,10,M. Ivan Fanany,6505757323,xgboost,3
yes,6,Dana Indra Sensuse,53264793000,definition,3
yes,6,Yudho Giri Sucahyo,6507465058,framework,3
no,2,Indra Hermawan,55625519100,generalized learning vector quantization,3
yes,8,Adila Alfa Krisnadhi,23467371600,domain experts,3
no,33,Peter M.A. Sloot,7006010423,scheduling,3
no,3,Elin Cahyaningsih,56595080500,knowledge management model,3
yes,7,Mirna Adriani,35611399700,machine learning approaches,3
yes,7,Mirna Adriani,35611399700,query languages,3
yes,8,Adila Alfa Krisnadhi,23467371600,data handling,3
yes,9,Harry Budi Santoso,55396730800,evaluation,3
no,11,Takashi Nishide,36599078000,cryptography,3
no,3,Elin Cahyaningsih,56595080500,government human capital,3
