keywords,sum_paper
bidirectional long short-term memory,3
deep belief networks,3
detection,3
transfer learning,3
gesture recognition,3
government human capital,3
knowledge management model,3
brain,3
pixels,3
precision and recall,3
cross validation,3
mahalanobis,3
wavelet,3
breast cancer,3
ecg compression,3
set partitioning in hierarchical trees (spiht),3
challenges,3
definition,3
hermeneutic,3
feature extraction and selection,3
number of clusters,3
mathematical transformations,3
knowledge based systems,3
computer circuits,3
computer programming,3
moral reasoning,3
formal logic,3
intelligent systems,3
data stream,3
gpu,3
carbon dioxide,3
monitoring,3
sensor nodes,3
wireless sensor networks,3
monitoring system,3
euclidean distance,3
fuzzy systems,3
genetic algorithms,3
information credibility,3
e-tourism,3
conceptual model,3
bitcoin,3
regulation,3
hadoop,3
dna profile,3
similarity,3
fuzzy inference,3
multiple kernel learning,3
machine learning methods,3
time series forecasting,3
time-series data,3
scrum,3
thematic analysis,3
features,3
e-portfolio,3
marketplace,3
intelligent buildings,3
automation,3
open dynamics engines,3
communication,3
telecommunication networks,3
speech analysis,3
character level,3
passage retrieval,3
sign language,3
knowledge mapping,3
markov processes,3
agile software development,3
interoperability,3
ict,3
learning process,3
go-jek,3
mobile commerce,3
system usability scale,3
factor analysis,3
combination,3
competition,3
partial least square (pls),3
togaf,3
word segmentation,3
dynamic environment,3
summarization,3
cyber security,3
query completeness,3
rdf,3
sparql,3
enterprise resource planning (erp),3
learning management system,3
learning type,3
moodle,3
online learning,3
online discussion,3
information and communication technology,3
open education,3
complex network,3
indonesia open educational resources,3
online,3
learning algorithms,3
adaptive learning,3
electric circuit,3
signal processing,3
artificial neural networks,3
general linear methods,3
stability preserving,3
hate speech detection,3
ner,3
text classification,3
marketing,3
recommendation system,3
collaborative filtering,3
non-parametric,3
training and testing,3
data preprocessing,3
sleep stage,3
question answering task,3
association rules mining,3
time-to-contact,3
sleep stages classifications,3
speech,3
structural fatigue,3
action recognition,3
denoising,3
visual tracking,3
classification results,3
arrhythmia,3
pso,3
hierarchical systems,3
image analysis,3
artificial odor discrimination system,3
polarity,3
parallel corpus,3
retrieval effectiveness,3
image retrieval,3
glvq,3
fetal monitoring,3
fetal head,3
codebooks,3
clustering algorithms,3
ultrasound images,3
ultrasonic applications,3
control systems,3
traffic signal control system,3
galois field,3
vhdl,3
human bodies,3
heart beats,3
multiple odor sources localization,3
dynamic environments,3
information sharing,3
regression,3
public key infrastructure,3
active appearance model,3
scientometrics,3
vectors,3
embryo,3
odor distribution,3
data governance,3
certification practice statement,3
cp,3
cps,3
part-of-speech tagging,2
word embeddings,2
training process,2
impulse buying,2
stickiness,2
barrier,2
primary health care,2
effectiveness,2
batan,2
maturity model,2
perceived ease of use,2
social influence,2
pedagogy,2
personalized e-learning,2
ucd,2
semantic similarity,2
facebook,2
privacy concern,2
interpretive structural model,2
social media strategy,2
weakness,2
hospitals,2
cervical cancer,2
neural network (nn),2
government agency,2
data architecture,2
university,2
open government data,2
strategies,2
developing country,2
information security awareness,2
gig economy,2
gig worker,2
online marketplace,2
quality,2
task-technology fit,2
c2c,2
tpe framework,2
intention to participate,2
open data,2
inflammatory cells,2
bayesian,2
external factors,2
tpb,2
accounting,2
critical factors,2
technology acceptance model (tam),2
lkpp,2
consumer behavior,2
perceived value,2
customer relationship management (crm),2
factors,2
sem-pls,2
dematel,2
inhibiting factors,2
task technology fit,2
case study,2
kmcsf,2
audit,2
technology acceptance,2
interpersonal trust,2
e-audit,2
developing countries,2
sustainability,2
business processes,2
itil,2
opportunities,2
knowledge management systems,2
organisational performance,2
saas,2
software as a service,2
institutional theory,2
healthcare,2
hospital service quality,2
patient,2
perception,2
web portal,2
customer relationship management,2
user satisfaction,2
project-based learning,2
social enterprise,2
delone & mclean,2
benefit,2
cost,2
online community,2
ease of use,2
education computing,2
virtual reality,2
e-commerce websites,2
e-marketplaces,2
conceptual frameworks,2
information adoption,2
success factors,2
small medium enterprise,2
linguistic knowledge,2
impact analysis,2
business benefit,2
erp benefit,2
resource management,2
automatic,2
antecedent factors,2
utilization model,2
histogram,2
image clustering,2
resource allocation,2
peer to peer networks,2
delta-oriented programming,2
information system development,2
constraint satisfaction problems,2
feature combination,2
abstract behavioral specification,2
open source software,2
complex system,2
comprehension,2
decomposition,2
diagram,2
level of abstraction,2
traffic control,2
verification,2
implementation strategy,2
knowledge graphs,2
cluster,2
assessment,2
complex relationships,2
modular ontologies,2
accreditation,2
logical statements,2
theoretical development,2
material transformation,2
sustainable development,2
geosciences,2
ontology model,2
linked data,2
ontology design patterns,2
model problems,2
life cycle,2
building blockes,2
national science foundations,2
oceanography,2
owl,2
dl-safe rules,2
datalog,2
interchange formats,2
computability and decidability,2
rule-based approach,2
circumscription,2
tractability,2
self organizing,2
inverse problems,2
decision theory,2
quality functional deployment,2
user behavior,2
precision,2
relation extraction,2
character recognition,2
binary classification,2
recurrent neural network (rnns),2
sentence classifications,2
computational model,2
e-learning application,2
opinion mining,2
digital documents,2
provenance security,2
database encryption,2
access control models,2
causal relationships,2
directed acyclic graph model,2
path-based,2
directed acyclic graph (dag),2
directed graphs,2
meta-heuristic approach,2
interpolation,2
stochastic systems,2
remote sensing technology,2
support vector regression (svr),2
image resolution,2
synthetic aperture radar,2
cross correlations,2
mining,2
hierarchical attention network,2
sleep stages,2
feature representation,2
socio-economic factor,2
diabetic retinopathy,2
fundus images,2
lbp,2
eeg,2
stroke,2
gis,2
simulated annealing,2
brain mapping,2
heuristics,2
neural networks (computer),2
stereo vision,2
batik,2
motif,2
human sperm,2
search window,2
ssamc,2
convolutional neural networks (cnn),2
gray level co-occurrence matrix (glcm),2
hough transform,2
sift,2
quantitative evaluation,2
computation time,2
decision tree method,2
edge detection,2
three dimensional,2
complex background,2
pattern matching,2
feature descriptors,2
cellular automata,2
medical imaging,2
diagnosis,2
multirate signal processing,2
canny edge detection,2
classification accuracy,2
cultural heritages,2
performance comparison,2
musculoskeletal system,2
distribution functions,2
performance analysis,2
e-government systems,2
social interactions,2
soft systems methodology,2
geographic information system,2
change detection,2
hyperspectral,2
data acquisition,2
comparative study,2
intelligent agents,2
prolog (programming language),2
proof of concept,2
graphical user interfaces,2
computational logic,2
computational morality,2
cooperation,2
promote cooperation,2
dual process,2
argumentation,2
deliberative reasoning,2
emergence,2
reactive behavior,2
autonomous agents,2
abductive logic programming,2
tabled abduction,2
incremental tabling,2
logic program updates,2
on-machines,2
chemical sensors,2
odor discrimination system,2
texture feature,2
activation function,2
formatting,2
insert,2
style,2
styling,2
correlation methods,2
positive correlations,2
remote monitoring,2
intelligent transportation system (its),2
algal growth,2
microalgae,2
hole filling algorithm,2
euclidean distance methods,2
vehicle speed measurement,2
closed circuit television,2
video recording,2
intelligent vehicle highway systems,2
fitness functions,2
crowdfunding,2
peer-to-peer lending,2
categorization,2
mobile learning,2
management,2
contingency factors,2
key management,2
local cloud,2
context awareness,2
delegation,2
stanford ner,2
name entity recognition,2
identification,2
str-dna,2
probability density function,2
forecast combination,2
survey,2
tacit knowledge,2
document management system,2
unified theory of acceptance and use of technology,2
it investment,2
online training system,2
ranti's generic is/it business value,2
e-voting,2
e-commerce adoption,2
smart government,2
e-service quality,2
smart homes,2
communication towers,2
coverage area,2
disaster areas,2
multiple source,2
network expansion,2
research fields,2
robot formation,2
expansion,2
autonomous mobile robot,2
computer systems programming,2
it alignment,2
maximum entropy methods,2
set theory,2
job scheduling,2
memory architecture,2
information dissemination,2
language model,2
word accuracies,2
skeleton extraction,2
mapping,2
e-government applications,2
metacognitives,2
literature reviews,2
academic,2
customer knowledge management,2
improvement,2
government,2
individual acceptance,2
knowledge management implementations,2
top management support,2
local government,2
expectation-confirmation model (ecm),2
conscientiousness,2
extraversion,2
learning goals,2
expert judgement,2
e-hajj,2
pearson correlation analysis,2
agile,2
development,2
knowledge-based system,2
knowledge management readiness,2
measurement,2
qualitative,2
externalization,2
internalization,2
socialization,2
socio-technical,2
fahp,2
automatic detection,2
organizational cultures,2
schema,2
human capital management,2
correspondence analysis,2
traditional knowledge,2
application,2
e-health,2
management information systems,2
e-government implementation,2
key success factors,2
temporal clustering,2
change analysis,2
temporal cluster analysis,2
visual data exploration,2
conformal mapping,2
temporal data,2
emoji,2
javanese character,2
logical reasoning,2
probabilistic reasoning,2
bayesian network,2
government agencies,2
reusability,2
computer aided software engineering,2
recurrent neural network,2
sibi,2
hidden markov model,2
discrete cosine transforms,2
tools,2
discrete cosine transform(dct),2
microsoft kinect,2
non-factoid queries,2
ncs,2
wikidata,2
rdf data,2
hashtag,2
branchless banking,2
grab,2
m-commerce,2
network topology,2
ux aspects,2
information system strategic planning,2
strategic alignment maturity model,2
cognitive apprenticeship,2
online discussion forum,2
ict utilization,2
sisp,2
learning analytics,2
personalized learning,2
knowledge ability,2
learning management system (lms),2
distance education,2
mooc,2
learning objectives,2
prototyping,2
mobile devices,2
roadmap,2
learning materials,2
open educational resources,2
utilizing ict,2
school,2
dashboard,2
metric,2
knowledge abilities,2
user experience questionnaire,2
computer self-efficacy,2
self-monitoring,2
electric circuit concepts,2
collaborative note-taking,2
online systems,2
probabilistic neural network,2
clutter,2
power plant,2
primary radar system,2
radar cross section,2
reflection,2
wind turbine,2
cross-ambiguity function,2
passive coherent locations,2
single frequency networks,2
parallel processing systems,2
network,2
vehicle classification,2
building dataset,2
noise reduction,2
web crawler,2
testing,2
hate speech,2
strategic planning,2
digital marketing,2
open-trip,2
item similarity,2
lexicon,2
recommender systems,2
ensemble,2
forecasting methods,2
statistical tests,2
latent semantic indexing,2
weighted averages,2
training sets,2
singular value decomposition,2
relevant documents,2
systems engineering,2
semantic keyword selection,2
video annotation,2
encoding (symbols),2
children with autisms,2
differentiable neural computer,2
sequence,2
visual languages,2
high quality,2
multivariate regression,2
restricted boltzmann machine,2
autoencoder,2
sequential,2
data representations,2
kernel based learner,2
modis,2
paddy growth stages,2
phenology,2
consumer electronics,2
motion estimation,2
human motion analysis,2
complex networks,2
tracking (position),2
al-fath,2
odor source,2
transparent surfaces,2
shape-from-shading,2
photometry,2
spectrum analysis,2
dimensionality reduction,2
statistical methods,2
fuzzy learning vector quantizations,2
automatic question answering,2
question answering,2
question answering systems,2
subjectivity,2
analogical reasoning,2
named entities,2
geographic information retrieval,2
statistical techniques,2
bilingual tasks,2
cross language information retrieval,2
language resources,2
transitive translation,2
web tasks,2
computer programming languages,2
web retrieval,2
query expansion.,2
image features,2
query translations,2
clustering methods,2
intelligent k-means,2
data dimensions,2
data distribution,2
biomedical fields,2
clustering approach,2
telehealth,2
automated system,2
ultrasound,2
adaptive boosting,2
image classification,2
better performance,2
randomized hough transform,2
fetal head detection,2
random forests,2
unmanned aerial vehicles (uav),2
optimization algorithms,2
robot operating systems (ros),2
arrhythmia classification,2
flvq,2
vehicle counting,2
kalman filters,2
multi-object tracking,2
scientific workflow,2
real time,2
training,2
structural equation modeling (sem),2
iterative methods,2
requirement engineering,2
galos field,2
reed solomon,2
rijndael cipher,2
compression,2
field programmable gate arrays (fpga),2
mammals,2
in-vitro,2
detection zones,2
traffic sensors,2
emergency traffic control,2
mouse liver,2
anesthetics,2
trichloroethylene,2
back-propagation,2
parallel search,2
statistical analysis,2
advection-diffusion,2
brand trust,2
fuzzy-ahp,2
analysis,2
word-based model,2
burrows-wheeler transform,2
entropy coding,2
dbms,2
mongodb,2
mysql,2
database,2
quality of service,2
classification tasks,2
autonomous system,2
vanet,2
gene expression,2
multimodal dbm,2
rbm,2
numerical methods,2
telecommunication traffic,2
computer networks,2
numerical analysis,2
bioinformatics,2
grid systems,2
membrane computing,2
rewrite rules,2
generative adversarial network,2
aam,2
social signal processing,2
human emotion recognition,2
annotated suffix tree,2
conditional random fields,2
amglvq,2
accurate performance,2
distributed systems,2
execution model,2
local resources,2
process-oriented simulations,2
queueing system,2
web database,2
logistic regressions,2
categorisation,2
error reduction,2
hierarchical categorisation,2
velocity,2
neural network algorithm,2
arc,2
ellipse,2
in-vitro fertilization (ivf),2
fnglvq,2
efficiency,2
electrocardiogram signal,2
robust algorithm,2
three component,2
wavelet algorithms,2
fuzzy learning,2
matrix similarity analysis,2
fuzzy neural networks,2
quartz,2
error analysis,2
autonomous vehicles,2
resonators,2
fragrance mixtures,2
fuzzy sets,2
sensor arrays,2
bureaucratic reform,2
electronic government,2
strategic information systems planning,2
certification authority,2
ipv6,2
information and communication technologies,2
cultural heritage,2
concept-based search,2
multimedia information retrieval,2
organization maturity level,2
part of speech tagging,1
pos tagging,1
corpus,1
part-of-speech,1
noise robustness,1
speech feature,1
buying behaviour,1
buying tendency,1
enabler,1
inhibitor,1
mobile website,1
sem covariant based,1
technology switching,1
two-factor theory,1
affect-behavior-cognition (abc),1
upoint,1
intention to buy,1
s-commerce,1
ehr adoption,1
electronic health records,1
clonal selection algorithm,1
csa,1
message passing model,1
mpi.net,1
parallel clonal selection algorithm,1
tsp,1
psp/iq model,1
it outsourcing,1
success level,1
delone-mclean,1
e-scm,1
scm,1
fuzzy ahp and topsis,1
hedonic,1
motivation theory,1
utilitarian,1
ccis,1
court case information systems,1
behavior,1
fgd,1
nuclear agency,1
data quality management,1
data quality maturity model,1
eemployees master data,1
master data management maturity,1
mdm,1
supreme court of ri,1
e-bay,1
lexicon classification,1
online auction,1
sentiment,1
facilitating condition,1
habit,1
online laboratories,1
perceived cost,1
design thinking,1
peer-learning community or plc,1
professional development,1
workplace learning,1
undergraduate,1
autism,1
autism spectrum disorder (asd),1
computer human interaction (chi),1
learning intervention,1
e-petition,1
user-centered design,1
focus area,1
key topics,1
master data,1
components of orange technology,1
orange technology,1
smart house for elderly and disabled,1
smart technology,1
hoax news,1
gold standard,1
pearson correlation,1
spearman correlation,1
socialmedia,1
user awareness,1
ministry of finance,1
maternal,1
neonatal,1
referral,1
technologies,1
adoption blockchain in scm,1
blockchain systematic literature review,1
scm blockchain,1
scm systematic literature review,1
digital games,1
digital items,1
expectation conformation model,1
online game community,1
uses and gratification,1
social media framework,1
strength,1
swot,1
threat,1
central statistics agency the republic of indonesia,1
interaction,1
user characteristics,1
health information systems,1
referral and consultation,1
attitude toward using technology,1
behavioral intention to use,1
perceived service availability,1
cloud business intelligence,1
the cloud bi,1
approach (had),1
hierarchical decision,1
pap smear,1
public health,1
digital,1
effect,1
impact,1
music,1
piracy,1
transformation,1
employee behavior on information security,1
electronic marketplace,1
key success factor,1
affecting,1
banking industry,1
blockchain,1
payment systems,1
education erp system,1
constraints,1
e-supply chain,1
trigger factors,1
executive information system,1
information science,1
expectation confirmation theory,1
g2b,1
government-to-business,1
the continuance of use,1
fuzzy ahp-topsis,1
clinical information system,1
electronic medical record,1
health information technology,1
image pap smear,1
otsu,1
overlapping,1
activity rule-based,1
cca,1
combinatorial clock auction,1
smra,1
spectrum auction,1
spectrum frequency auction,1
business analytics,1
peer-to-peer accommodation,1
e-complaint,1
icts,1
stope framework,1
government social media,1
indonesia customs,1
appraisal theory,1
kominfo,1
multiple criteria decision analysis (mcda),1
sdppi,1
documents,1
elements,1
it resources,1
factor,1
sub-factor,1
digital music transformation,1
failure factor,1
influence factor,1
new player emergence factor,1
digital labor,1
disconfirmation,1
negative behavior,1
negative emotions,1
hyper-converged infrastructure,1
technology-organizaation-environment,1
merchants,1
platform providers,1
action research,1
third wave framework,1
intention to recommend,1
e-government service quality,1
social presence,1
data openness index,1
data openness level,1
government website,1
open data principles,1
overlapped areas,1
overlapped cell segmentation,1
component benefits,1
javanesse character recognition,1
gray level thresholding,1
nucleus detection,1
expectation-confirmation model,1
intrinsic,1
mobile banking,1
perceived enjoyment,1
account promotion,1
internal factors,1
knowledge collecting behavior,1
knowledge contributing behavior,1
a source of trust,1
c2c e-marketplace,1
the displacement of the trust,1
technology readiness,1
alignment factors,1
business-it,1
ea,1
systemic literature review,1
baggage handling management,1
baggage handling system,1
personalized,1
agile methodology,1
integrated career portal,1
construction,1
content,1
search,1
asap method,1
open source,1
awareness and attitud,1
factor affecting,1
acceptance factors,1
hospital information systems,1
website,1
(pls),1
e-magazine,1
education e-learning e-learning system success individual impact use,1
fuzzy ahp,1
knowledge transfer,1
knowledge transfer barriers,1
knowledge transfer solutions,1
education export,1
globalised education,1
management in education.,1
pilot project,1
delone and mclean,1
information system success,1
lembaga kebijakan pengadaan barang/jasa pemerintah,1
perceived transparency,1
asap,1
odoo payroll,1
open source system,1
rad,1
uat,1
bagging,1
electronic word of mouth,1
information searching,1
online group buying,1
critical success factors (csfs),1
principle component analysis (pca),1
social crm model,1
continuous improvement,1
information system success model,1
knowledge collection,1
knowledge contribution,1
knowledge utilization,1
edms,1
kano model,1
qfd,1
quality of information systems,1
updated d&m is success model,1
bcor,1
cloud deployment,1
informant characteristic,1
information characteristic,1
intention to travel,1
online review,1
system characteristis,1
g2c,1
service level agreement,1
services,1
sla,1
web 2.0,1
hospital type,1
nlp,1
politics,1
hris,1
task characteristics,1
technology characteristics,1
environmental and pollution control deputy,1
readiness-framework,1
scope management,1
software development projects,1
caatt,1
cfa,1
confkatory factor analysis,1
public information,1
understandability,1
continual use intention,1
dispositional trust,1
e-government quality,1
electronic word-of-mouth,1
institutional trust,1
idt,1
innovation diffusion theory,1
intention-to-use,1
partial least squares on structural equation modeling,1
technology readiness index,1
tri,1
driving factors,1
g-readiness,1
green it,1
tows,1
enterprise development,1
enterprise performance,1
classification framework,1
social-crm,1
software features,1
balance scorecard,1
costs,1
risks,1
expectation confirmation model,1
knowledge quality,1
post adoption behavior,1
communities of practice,1
community performance,1
cop,1
individual performance,1
km,1
kms,1
type of participation,1
ahp information systems,1
quality factor,1
structure equation model.,1
sustainability performance,1
institutional entrepreneurship,1
institutional isomorphism,1
institutional logic,1
expectation,1
servqual,1
iq,1
iq assessment,1
iq assessment framework,1
oceanographic characteristics,1
potential fishing zone (pfz),1
spatio-temporal data mining,1
knowledge management adoption,1
make award,1
non-financial performance,1
organizational learning,1
aim quality,1
combined conceptual life-cycle (cc/lc),1
gasser-stvilia,1
social customer relationship management,1
it infrastructure flexibility,1
it-business strategic alignment,1
luftman,1
ministry,1
citizen journalism,1
citizen media,1
social environment,1
stimulus-organismic-response model,1
technological environment,1
web communities,1
educational reform,1
enterprise architectures,1
student engagement,1
portals,1
customer knowledge creation,1
e-crm,1
and enterprise development,1
safety culture maturity model,1
safety management system,1
cloud deployment model,1
indonesian government,1
technique for order preference by similarity to ideal solution,1
contextual factor,1
individual factor,1
knowledge sharing behaviour,1
sct model,1
social cognitive theory model,1
android application,1
e-fishing logbook,1
fishing data management,1
mobile documentation,1
behavioural beliefs,1
convertibility,1
payment system characteristics,1
personal innovativeness,1
privacy,1
relative advantages,1
social influences,1
bocr,1
cloud adoption,1
costs and risks,1
decision-making trial and evaluation laboratory,1
grid-density based clustering,1
potential fishing zone,1
spatio-temporal clustering,1
temporal aggregate,1
extrinsic attributes,1
optimal maintenance,1
quality of education,1
senior high school students,1
university education,1
university students,1
evaluation tool,1
online transaction,1
selling online,1
site security,1
fishery management,1
information layers,1
integrated applications,1
integrated designs,1
fisheries,1
virtual worlds,1
informative perspective,1
mobile device,1
responsive web design,1
user experience quality,1
cognitive trust,1
environment,1
organization,1
personal,1
toe framework,1
word of mouth,1
blogs,1
community,1
consulting firm,1
corporate blogs,1
enterprise,1
his,1
public hospital,1
synthesising,1
fishery data management,1
integrated system architecture,1
consulting companies,1
employees,1
erp systems comparison,1
internal and external organisational factors,1
it utilisation,1
analytic network process,1
anp,1
erp readiness,1
erp readiness assessment,1
fuzzy anp,1
application security,1
application security framework,1
indonesia.,1
measuring security awareness,1
web developer,1
it assessment,1
teaching hospital,1
automatic approaches,1
development costs,1
post-editing,1
source language,1
target language,1
transfer rules,1
e-office on demand,1
pt. telkom indonesia,1
saas adoption barriers,1
saas benefits,1
saas realisation,1
saas risks,1
saas value creation,1
online purchase,1
perceived behavioral control,1
risks perception,1
security concern,1
cost of acquistion,1
governance structure,1
organizational characteristic,1
pln,1
pre-sourcing procurement quotation,1
procurement,1
information asymmetry,1
signal,1
signaling theory,1
university quality,1
intangible benefit,1
google tools,1
internet marketing,1
search engine marketing,1
search engine optimisation,1
seo,1
service management,1
authority,1
evaluation & measurement,1
knowledge management governance,1
strategy development,1
value delivery,1
english,1
shallow-transfer rule,1
commercial bank,1
compliance analysis,1
it investments,1
investments,1
co-occurrence statistics,1
hybrid machine translation,1
linguistic rules,1
source material,1
statistical machine translation,1
target materials,1
agglomerative hierarchical clustering (ahc),1
expectation-maximization (em),1
gaussian mixture model (gmm),1
hsv,1
l*a*b*,1
rgb,1
peer-to-peer systems,1
social metaphor,1
least frequently used (lfu) strategies,1
least recently used (lru) strategies,1
peer to peer systems,1
routing information,1
broadcasting,1
indexing (of information),1
reinforcement learning,1
response time (computer systems),1
adaptive routing,1
network traffic,1
novel strategies,1
p2p system,1
reinforcement learning approach,1
routing strategies,1
unstructured peer-to-peer systems,1
structured overlay,1
charity organization,1
impact maturity model,1
integration of spl to teaching,1
progressive learning,1
spl,1
delta oriented programming,1
interaction flow modeling language,1
software product lines engineering,1
user interface design,1
multi software product lines,1
uml profile,1
budget control,1
industrial research,1
object oriented programming,1
